id,day,channel,type,message,image_url,status
C-01,Mon,all,exam_tip,"📚 D.Pharm Exam Tip: Pharmaceutics me 'Dosage Forms' aur 'Sterile Formulations' har saal aate hain. In par sabse pehle command banao. Full exam-ready notes 👉 https://ramannaiknaware.graphy.com/courses/DPharm-1st-year-Pharmaceutics-Complete-Notes-69883bcbc8266f1243b25fed",,pending
C-02,Wed,all,social_proof,"⭐ 'In notes se mera Pharmaceutics ka score 20 marks badh gaya!' — MSBTE student. Tum bhi same result chahte ho? Early-bird ₹69 (sirf first 30 students) 👉 https://ramannaiknaware.graphy.com/courses/DPharm-1st-year-Pharmaceutics-Complete-Notes-69883bcbc8266f1243b25fed",,pending
C-03,Fri,all,offer_reminder,"⏳ Early-bird ₹69 offer jaldi khatam ho raha hai! Uske baad price ₹99 ho jayega. Abhi lock karo apni copy 👉 https://ramannaiknaware.graphy.com/courses/DPharm-1st-year-Pharmaceutics-Complete-Notes-69883bcbc8266f1243b25fed",,pending
C-04,Mon,all,subject_spotlight,"🔬 Subject Spotlight — Pharmaceutical Chemistry: reactions aur structures ko diagrams ke saath samjho. Hamari notes me sab kuch visual format me. Combo me lo aur bachao 👉 https://ramannaiknaware.graphy.com/courses/3-Subject-Combo-1-Pharmaceutics--Pharma-Chemistry--HAP-69f3196d41340d2409a749ef",,pending
C-05,Wed,all,exam_tip,"✍️ MSBTE ER20-11T pattern: long answers me diagram banane par extra marks milte hain. Hamari notes me ready-to-copy labelled diagrams hain. Dekho 👉 https://ramannaiknaware.graphy.com/courses/DPharm-1st-year-Pharmaceutics-Complete-Notes-69883bcbc8266f1243b25fed",,pending
C-06,Fri,all,combo_offer,"🎁 3-Subject Combo se ek subject ke price me teen subjects ke notes! Pharmaceutics + Pharma Chem + HAP. Best value 👉 https://ramannaiknaware.graphy.com/courses/3-Subject-Combo-1-Pharmaceutics--Pharma-Chemistry--HAP-69f3196d41340d2409a749ef",,pending
C-07,Mon,all,social_proof,"🙌 500+ D.Pharm students already padh rahe hain ManPharma notes se. Tum kab join kar rahe ho? Free sample dekho 👉 https://drive.google.com/file/d/1rHrKPCAWHzfMvzjK2drLs-l34tzHswcT/view?usp=sharing",,pending
C-08,Wed,all,free_sample,"📥 Free Sample Alert! Pharmaceutics notes ka demo bilkul free download karo aur quality khud check karo 👉 https://drive.google.com/file/d/1rHrKPCAWHzfMvzjK2drLs-l34tzHswcT/view?usp=sharing",,pending
C-09,Fri,all,offer_reminder,"🔥 Sirf aaj! Early-bird ₹69 me complete Pharmaceutics notes. Kal ho sakta hai ₹99. Decide karo abhi 👉 https://ramannaiknaware.graphy.com/courses/DPharm-1st-year-Pharmaceutics-Complete-Notes-69883bcbc8266f1243b25fed",,pending
C-10,Mon,all,exam_tip,"💡 Last-minute revision hack: har chapter ke end me '2-mark quick points' yaad karo. Hamari notes me ye section already bana hai. Check 👉 https://ramannaiknaware.graphy.com/courses/DPharm-1st-year-Pharmaceutics-Complete-Notes-69883bcbc8266f1243b25fed",,pending
C-11,Wed,all,subject_spotlight,"🌿 Subject Spotlight — Pharmacognosy: plant drugs, sources aur uses ka easy table format. Combo me available 👉 https://ramannaiknaware.graphy.com/courses/3-Subject-Combo-2-Pharmaceutics--Social-Pharmacy--Pharmacognosy-69f3198439e7e6bc2cc20594",,pending
C-12,Fri,all,combo_offer,"📦 D.Pharm 1st Year Full Combo — sab subjects ek hi jagah, ek hi discount me. Sabse zyada bachat 👉 https://ramannaiknaware.graphy.com/courses/DPharm-1st-Year-Combo-1777537319930-69f311273e897b00ec94531a",,pending
C-13,Mon,all,social_proof,"⭐ 'Diagrams aur Hinglish explanation ne padhai easy kar di' — ye sabse common feedback hai. Khud experience karo 👉 https://ramannaiknaware.graphy.com/courses/DPharm-1st-year-Pharmaceutics-Complete-Notes-69883bcbc8266f1243b25fed",,pending
C-14,Wed,all,new_launch,"🚀 D.Pharm 2nd Year notes bhi aa rahe hain — same premium quality. Updates ke liye humse jude raho. Abhi 1st year secure karo 👉 https://ramannaiknaware.graphy.com/courses/DPharm-1st-year-Pharmaceutics-Complete-Notes-69883bcbc8266f1243b25fed",,pending
C-15,Fri,all,offer_reminder,"⌛ Early-bird seats almost full! ₹69 wali deal miss mat karo. Last call 👉 https://ramannaiknaware.graphy.com/courses/DPharm-1st-year-Pharmaceutics-Complete-Notes-69883bcbc8266f1243b25fed",,pending
